URL,Number of outlinks
https://www.japscan.ws/manga/hidden-marriage-100-points-provoke-a-wife-to-marry-one-get-one-free/,316
https://www.japscan.ws/lecture-en-ligne/hidden-marriage-100-points-provoke-a-wife-to-marry-one-get-one-free/169/,11
https://www.japscan.ws/lecture-en-ligne/hidden-marriage-100-points-provoke-a-wife-to-marry-one-get-one-free/168/,12
https://www.japscan.ws/manga/the-princess-in-the-dumpster/,193
https://www.japscan.ws/lecture-en-ligne/the-princess-in-the-dumpster/52/,11
https://www.japscan.ws/manga/my-dad-is-too-strong/,212
https://www.japscan.ws/lecture-en-ligne/my-dad-is-too-strong/70/,11
https://www.japscan.ws/lecture-en-ligne/my-dad-is-too-strong/69/,12
https://www.japscan.ws/lecture-en-ligne/my-dad-is-too-strong/68/,12
https://www.japscan.ws/manga/martial-peak/,917
https://www.japscan.ws/lecture-en-ligne/martial-peak/766/,11
https://www.japscan.ws/lecture-en-ligne/martial-peak/765/,12
https://www.japscan.ws/manga/the-immortal-emperor-luo-wuji-has-returned/,253
https://www.japscan.ws/lecture-en-ligne/the-immortal-emperor-luo-wuji-has-returned/110/,11
https://www.japscan.ws/lecture-en-ligne/the-immortal-emperor-luo-wuji-has-returned/109/,12
https://www.japscan.ws/lecture-en-ligne/the-immortal-emperor-luo-wuji-has-returned/108/,12
https://www.japscan.ws/manga/da-zhu-zai/,360
https://www.japscan.ws/lecture-en-ligne/da-zhu-zai/215/,11
https://www.japscan.ws/manga/cangqiong-bang-zhi-shengling-ji/,273
https://www.japscan.ws/manga/parasyte-reversi/,174
https://www.japscan.ws/lecture-en-ligne/adam-l-ultime-robot/6/,12
https://www.japscan.ws/manga/ad-astra/,226
https://www.japscan.ws/manga/yona-princesse-de-l-aube/,253
https://www.japscan.ws/lecture-en-ligne/yona-princesse-de-l-aube/193/,11
https://www.japscan.ws/manga/the-twins-circumstances/,172
https://www.japscan.ws/lecture-en-ligne/the-twins-circumstances/29/,11
https://www.japscan.ws/lecture-en-ligne/the-twins-circumstances/28/,12
https://www.japscan.ws/manga/i-became-the-wife-of-the-monstrous-crown-prince/,179
https://www.japscan.ws/lecture-en-ligne/i-became-the-wife-of-the-monstrous-crown-prince/38/,11
https://www.japscan.ws/manga/inazuma-to-romance/,149
https://www.japscan.ws/lecture-en-ligne/inazuma-to-romance/7/,11
https://www.japscan.ws/manga/god-gave-me-this-awkward-superpower-what-is-it-for/,161
https://www.japscan.ws/lecture-en-ligne/god-gave-me-this-awkward-superpower-what-is-it-for/18.5/,11
https://www.japscan.ws/lecture-en-ligne/god-gave-me-this-awkward-superpower-what-is-it-for/18/,12
https://www.japscan.ws/manga/mercenary-enrollment/,215
https://www.japscan.ws/lecture-en-ligne/mercenary-enrollment/73/,11
https://www.japscan.ws/lecture-en-ligne/mercenary-enrollment/72/,12
